census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,education_universe_25_plus,bachelors_or_higher_count,bachelors_or_higher_pct,source_id
1600000US0102860,place,01,02860,"Ashland town, Alabama",2024,1342,225,16.766,acs5_2024_place_education
1600000US0102908,place,01,02908,"Ashville city, Alabama",2024,1752,183,10.445,acs5_2024_place_education
1600000US0102956,place,01,02956,"Athens city, Alabama",2024,20850,6548,31.405,acs5_2024_place_education
1600000US0103004,place,01,03004,"Atmore city, Alabama",2024,6828,711,10.413,acs5_2024_place_education
1600000US0103028,place,01,03028,"Attalla city, Alabama",2024,4673,510,10.914,acs5_2024_place_education
1600000US0103076,place,01,03076,"Auburn city, Alabama",2024,41630,26700,64.136,acs5_2024_place_education
1600000US0103220,place,01,03220,"Autaugaville town, Alabama",2024,655,88,13.435,acs5_2024_place_education
1600000US0103364,place,01,03364,"Avon town, Alabama",2024,279,53,18.996,acs5_2024_place_education
1600000US0103508,place,01,03508,"Axis CDP, Alabama",2024,255,20,7.843,acs5_2024_place_education
1600000US0103556,place,01,03556,"Babbie town, Alabama",2024,508,55,10.827,acs5_2024_place_education
1600000US0103676,place,01,03676,"Baileyton town, Alabama",2024,724,72,9.945,acs5_2024_place_education
1600000US0103724,place,01,03724,"Bakerhill town, Alabama",2024,141,21,14.894,acs5_2024_place_education
1600000US0103820,place,01,03820,"Ballplay CDP, Alabama",2024,697,63,9.039,acs5_2024_place_education
1600000US0103940,place,01,03940,"Banks town, Alabama",2024,180,36,20.0,acs5_2024_place_education
1600000US0104660,place,01,04660,"Bay Minette city, Alabama",2024,5505,729,13.243,acs5_2024_place_education
1600000US0104684,place,01,04684,"Bayou La Batre city, Alabama",2024,1182,104,8.799,acs5_2024_place_education
1600000US0104852,place,01,04852,"Bear Creek town, Alabama",2024,976,131,13.422,acs5_2024_place_education
1600000US0104900,place,01,04900,"Beatrice town, Alabama",2024,122,20,16.393,acs5_2024_place_education
1600000US0104948,place,01,04948,"Beaverton town, Alabama",2024,168,5,2.976,acs5_2024_place_education
1600000US0105140,place,01,05140,"Belgreen CDP, Alabama",2024,58,9,15.517,acs5_2024_place_education
1600000US0105164,place,01,05164,"Belk town, Alabama",2024,194,17,8.763,acs5_2024_place_education
1600000US0105188,place,01,05188,"Bellamy CDP, Alabama",2024,150,6,4.0,acs5_2024_place_education
1600000US0105212,place,01,05212,"Belle Fontaine CDP, Alabama",2024,593,48,8.094,acs5_2024_place_education
1600000US0105692,place,01,05692,"Benton town, Alabama",2024,32,6,18.75,acs5_2024_place_education
1600000US0105812,place,01,05812,"Berlin town, Alabama",2024,621,80,12.882,acs5_2024_place_education
1600000US0105932,place,01,05932,"Berry town, Alabama",2024,690,108,15.652,acs5_2024_place_education
1600000US0105980,place,01,05980,"Bessemer city, Alabama",2024,18178,2835,15.596,acs5_2024_place_education
1600000US0106460,place,01,06460,"Billingsley town, Alabama",2024,106,10,9.434,acs5_2024_place_education
1600000US0107000,place,01,07000,"Birmingham city, Alabama",2024,136711,42477,31.071,acs5_2024_place_education
1600000US0107120,place,01,07120,"Black town, Alabama",2024,284,10,3.521,acs5_2024_place_education
1600000US0107456,place,01,07456,"Blountsville town, Alabama",2024,1003,136,13.559,acs5_2024_place_education
1600000US0107588,place,01,07588,"Blue Ridge CDP, Alabama",2024,993,540,54.381,acs5_2024_place_education
1600000US0107672,place,01,07672,"Blue Springs town, Alabama",2024,90,12,13.333,acs5_2024_place_education
1600000US0107912,place,01,07912,"Boaz city, Alabama",2024,6037,957,15.852,acs5_2024_place_education
1600000US0108104,place,01,08104,"Boligee town, Alabama",2024,137,12,8.759,acs5_2024_place_education
1600000US0108248,place,01,08248,"Bon Air town, Alabama",2024,82,2,2.439,acs5_2024_place_education
1600000US0108272,place,01,08272,"Bon Secour CDP, Alabama",2024,2151,722,33.566,acs5_2024_place_education
1600000US0108680,place,01,08680,"Boykin CDP, Alabama",2024,58,0,0.0,acs5_2024_place_education
1600000US0109016,place,01,09016,"Brantley town, Alabama",2024,515,177,34.369,acs5_2024_place_education
1600000US0109064,place,01,09064,"Brantleyville CDP, Alabama",2024,546,57,10.44,acs5_2024_place_education
1600000US0109136,place,01,09136,"Brent city, Alabama",2024,3051,291,9.538,acs5_2024_place_education
1600000US0109208,place,01,09208,"Brewton city, Alabama",2024,3741,907,24.245,acs5_2024_place_education
1600000US0109328,place,01,09328,"Bridgeport city, Alabama",2024,1515,103,6.799,acs5_2024_place_education
1600000US0109400,place,01,09400,"Brighton city, Alabama",2024,2107,157,7.451,acs5_2024_place_education
1600000US0109424,place,01,09424,"Brilliant town, Alabama",2024,884,75,8.484,acs5_2024_place_education
1600000US0109457,place,01,09457,"Bristow Cove CDP, Alabama",2024,108,17,15.741,acs5_2024_place_education
1600000US0109500,place,01,09500,"Brook Highland CDP, Alabama",2024,5780,3538,61.211,acs5_2024_place_education
1600000US0109736,place,01,09736,"Brookside town, Alabama",2024,975,102,10.462,acs5_2024_place_education
1600000US0109808,place,01,09808,"Brookwood town, Alabama",2024,1955,469,23.99,acs5_2024_place_education
1600000US0109880,place,01,09880,"Broomtown CDP, Alabama",2024,244,48,19.672,acs5_2024_place_education
1600000US0110240,place,01,10240,"Brundidge city, Alabama",2024,1550,230,14.839,acs5_2024_place_education
1600000US0110456,place,01,10456,"Bucks CDP, Alabama",2024,7,0,0.0,acs5_2024_place_education
1600000US0111032,place,01,11032,"Butler town, Alabama",2024,1562,414,26.504,acs5_2024_place_education
1600000US0111416,place,01,11416,"Calera city, Alabama",2024,11712,4351,37.15,acs5_2024_place_education
1600000US0111488,place,01,11488,"Calvert CDP, Alabama",2024,83,0,0.0,acs5_2024_place_education
1600000US0111512,place,01,11512,"Camden city, Alabama",2024,1341,278,20.731,acs5_2024_place_education
1600000US0111680,place,01,11680,"Camp Hill town, Alabama",2024,871,74,8.496,acs5_2024_place_education
1600000US0112016,place,01,12016,"Carbon Hill city, Alabama",2024,1103,40,3.626,acs5_2024_place_education
1600000US0112040,place,01,12040,"Cardiff town, Alabama",2024,118,2,1.695,acs5_2024_place_education
1600000US0112070,place,01,12070,"Carlisle-Rockledge CDP, Alabama",2024,1094,100,9.141,acs5_2024_place_education
1600000US0112112,place,01,12112,"Carlton CDP, Alabama",2024,35,0,0.0,acs5_2024_place_education
1600000US0112160,place,01,12160,"Carolina town, Alabama",2024,231,49,21.212,acs5_2024_place_education
1600000US0112304,place,01,12304,"Carrollton town, Alabama",2024,511,57,11.155,acs5_2024_place_education
1600000US0112496,place,01,12496,"Castleberry town, Alabama",2024,199,27,13.568,acs5_2024_place_education
1600000US0112544,place,01,12544,"Catherine CDP, Alabama",2024,8,0,0.0,acs5_2024_place_education
1600000US0112760,place,01,12760,"Cedar Bluff town, Alabama",2024,1148,180,15.679,acs5_2024_place_education
1600000US0113264,place,01,13264,"Center Point city, Alabama",2024,10559,1797,17.019,acs5_2024_place_education
1600000US0113648,place,01,13648,"Centre city, Alabama",2024,3244,432,13.317,acs5_2024_place_education
1600000US0113672,place,01,13672,"Centreville city, Alabama",2024,1982,276,13.925,acs5_2024_place_education
1600000US0114008,place,01,14008,"Chatom town, Alabama",2024,635,185,29.134,acs5_2024_place_education
1600000US0114104,place,01,14104,"Chelsea city, Alabama",2024,10962,5314,48.477,acs5_2024_place_education
1600000US0114152,place,01,14152,"Cherokee town, Alabama",2024,722,107,14.82,acs5_2024_place_education
1600000US0114202,place,01,14202,"Cherokee Ridge town, Alabama",2024,313,199,63.578,acs5_2024_place_education
1600000US0114392,place,01,14392,"Chickasaw city, Alabama",2024,3944,528,13.387,acs5_2024_place_education
1600000US0114464,place,01,14464,"Childersburg city, Alabama",2024,3421,340,9.939,acs5_2024_place_education
1600000US0114728,place,01,14728,"Choccolocco CDP, Alabama",2024,1931,742,38.426,acs5_2024_place_education
1600000US0114968,place,01,14968,"Chunchula CDP, Alabama",2024,250,41,16.4,acs5_2024_place_education
1600000US0115064,place,01,15064,"Citronelle city, Alabama",2024,3047,368,12.077,acs5_2024_place_education
1600000US0115136,place,01,15136,"Clanton city, Alabama",2024,5994,1097,18.302,acs5_2024_place_education
1600000US0115256,place,01,15256,"Clay city, Alabama",2024,6746,1565,23.199,acs5_2024_place_education
1600000US0115304,place,01,15304,"Clayhatchee town, Alabama",2024,319,27,8.464,acs5_2024_place_education
1600000US0115376,place,01,15376,"Clayton city, Alabama",2024,2007,82,4.086,acs5_2024_place_education
1600000US0115472,place,01,15472,"Cleveland town, Alabama",2024,764,113,14.791,acs5_2024_place_education
1600000US0115640,place,01,15640,"Clio city, Alabama",2024,950,72,7.579,acs5_2024_place_education
1600000US0116000,place,01,16000,"Coaling city, Alabama",2024,1529,212,13.865,acs5_2024_place_education
1600000US0116080,place,01,16080,"Coats Bend CDP, Alabama",2024,929,81,8.719,acs5_2024_place_education
1600000US0116240,place,01,16240,"Coffee Springs town, Alabama",2024,248,48,19.355,acs5_2024_place_education
1600000US0116264,place,01,16264,"Coffeeville town, Alabama",2024,162,10,6.173,acs5_2024_place_education
1600000US0116312,place,01,16312,"Coker town, Alabama",2024,773,178,23.027,acs5_2024_place_education
1600000US0116600,place,01,16600,"Collinsville city, Alabama",2024,1234,83,6.726,acs5_2024_place_education
1600000US0116684,place,01,16684,"Colony town, Alabama",2024,272,11,4.044,acs5_2024_place_education
1600000US0116744,place,01,16744,"Columbia town, Alabama",2024,481,30,6.237,acs5_2024_place_education
1600000US0116768,place,01,16768,"Columbiana city, Alabama",2024,3686,586,15.898,acs5_2024_place_education
1600000US0116936,place,01,16936,"Concord CDP, Alabama",2024,1359,186,13.687,acs5_2024_place_education
1600000US0117176,place,01,17176,"Coosada town, Alabama",2024,784,166,21.173,acs5_2024_place_education
1600000US0117368,place,01,17368,"Cordova town, Alabama",2024,1145,58,5.066,acs5_2024_place_education
1600000US0117704,place,01,17704,"Cottondale CDP, Alabama",2024,2067,308,14.901,acs5_2024_place_education
1600000US0117824,place,01,17824,"Cottonwood town, Alabama",2024,804,60,7.463,acs5_2024_place_education
1600000US0117968,place,01,17968,"County Line town, Alabama",2024,305,14,4.59,acs5_2024_place_education
1600000US0118040,place,01,18040,"Courtland town, Alabama",2024,504,40,7.937,acs5_2024_place_education
1600000US0118088,place,01,18088,"Cowarts town, Alabama",2024,1506,165,10.956,acs5_2024_place_education
1600000US0118304,place,01,18304,"Creola town, Alabama",2024,1453,212,14.591,acs5_2024_place_education
1600000US0118856,place,01,18856,"Crossville town, Alabama",2024,1404,199,14.174,acs5_2024_place_education
1600000US0118952,place,01,18952,"Cuba town, Alabama",2024,262,87,33.206,acs5_2024_place_education
1600000US0118976,place,01,18976,"Cullman city, Alabama",2024,13270,4297,32.381,acs5_2024_place_education
1600000US0119024,place,01,19024,"Cullomburg CDP, Alabama",2024,216,12,5.556,acs5_2024_place_education
1600000US0119216,place,01,19216,"Cusseta town, Alabama",2024,130,29,22.308,acs5_2024_place_education
1600000US0119336,place,01,19336,"Dadeville city, Alabama",2024,2131,398,18.677,acs5_2024_place_education
1600000US0119360,place,01,19360,"Daleville city, Alabama",2024,3707,847,22.849,acs5_2024_place_education
1600000US0119648,place,01,19648,"Daphne city, Alabama",2024,20043,8606,42.938,acs5_2024_place_education
1600000US0119744,place,01,19744,"Dauphin Island town, Alabama",2024,1622,687,42.355,acs5_2024_place_education
1600000US0119816,place,01,19816,"Daviston town, Alabama",2024,125,30,24.0,acs5_2024_place_education
1600000US0119912,place,01,19912,"Dayton town, Alabama",2024,26,2,7.692,acs5_2024_place_education
1600000US0120008,place,01,20008,"Deatsville town, Alabama",2024,1232,440,35.714,acs5_2024_place_education
1600000US0120104,place,01,20104,"Decatur city, Alabama",2024,39222,8804,22.447,acs5_2024_place_education
1600000US0120152,place,01,20152,"Deer Park CDP, Alabama",2024,45,0,0.0,acs5_2024_place_education
1600000US0120272,place,01,20272,"Delta CDP, Alabama",2024,178,49,27.528,acs5_2024_place_education
1600000US0120296,place,01,20296,"Demopolis city, Alabama",2024,4921,1349,27.413,acs5_2024_place_education
1600000US0120392,place,01,20392,"Detroit town, Alabama",2024,127,20,15.748,acs5_2024_place_education
1600000US0120955,place,01,20955,"Dodge City town, Alabama",2024,361,45,12.465,acs5_2024_place_education
1600000US0121136,place,01,21136,"Dora city, Alabama",2024,1718,262,15.25,acs5_2024_place_education
1600000US0121184,place,01,21184,"Dothan city, Alabama",2024,49660,13700,27.588,acs5_2024_place_education
1600000US0121280,place,01,21280,"Double Springs town, Alabama",2024,799,162,20.275,acs5_2024_place_education
1600000US0121328,place,01,21328,"Douglas town, Alabama",2024,594,94,15.825,acs5_2024_place_education
1600000US0121448,place,01,21448,"Dozier town, Alabama",2024,221,11,4.977,acs5_2024_place_education
1600000US0121890,place,01,21890,"Dunnavant CDP, Alabama",2024,833,292,35.054,acs5_2024_place_education
1600000US0121952,place,01,21952,"Dutton town, Alabama",2024,314,39,12.42,acs5_2024_place_education
1600000US0122088,place,01,22088,"Eagle Point CDP, Alabama",2024,2075,1276,61.494,acs5_2024_place_education
1600000US0122216,place,01,22216,"East Brewton city, Alabama",2024,1582,71,4.488,acs5_2024_place_education
1600000US0122504,place,01,22504,"East Point CDP, Alabama",2024,151,54,35.762,acs5_2024_place_education
1600000US0122816,place,01,22816,"Eclectic town, Alabama",2024,821,182,22.168,acs5_2024_place_education
1600000US0123032,place,01,23032,"Edgewater CDP, Alabama",2024,636,111,17.453,acs5_2024_place_education
1600000US0123176,place,01,23176,"Edwardsville town, Alabama",2024,155,19,12.258,acs5_2024_place_education
1600000US0123224,place,01,23224,"Egypt CDP, Alabama",2024,454,89,19.604,acs5_2024_place_education
1600000US0123296,place,01,23296,"Elba city, Alabama",2024,2684,313,11.662,acs5_2024_place_education
1600000US0123320,place,01,23320,"Elberta town, Alabama",2024,1663,288,17.318,acs5_2024_place_education
1600000US0123344,place,01,23344,"Eldridge town, Alabama",2024,77,9,11.688,acs5_2024_place_education
1600000US0123488,place,01,23488,"Elkmont town, Alabama",2024,218,100,45.872,acs5_2024_place_education
1600000US0123656,place,01,23656,"Elmore town, Alabama",2024,883,162,18.347,acs5_2024_place_education
1600000US0123872,place,01,23872,"Emelle town, Alabama",2024,48,7,14.583,acs5_2024_place_education
1600000US0123880,place,01,23880,"Emerald Mountain CDP, Alabama",2024,2117,910,42.985,acs5_2024_place_education
1600000US0124184,place,01,24184,"Enterprise city, Alabama",2024,19501,4902,25.137,acs5_2024_place_education
1600000US0124256,place,01,24256,"Epes town, Alabama",2024,192,50,26.042,acs5_2024_place_education
1600000US0124280,place,01,24280,"Equality CDP, Alabama",2024,53,25,47.17,acs5_2024_place_education
1600000US0124472,place,01,24472,"Ethelsville town, Alabama",2024,45,6,13.333,acs5_2024_place_education
1600000US0124568,place,01,24568,"Eufaula city, Alabama",2024,8255,1249,15.13,acs5_2024_place_education
1600000US0124616,place,01,24616,"Eunola CDP, Alabama",2024,126,0,0.0,acs5_2024_place_education
1600000US0124664,place,01,24664,"Eutaw city, Alabama",2024,1832,287,15.666,acs5_2024_place_education
1600000US0124688,place,01,24688,"Eva town, Alabama",2024,634,149,23.502,acs5_2024_place_education
1600000US0124808,place,01,24808,"Evergreen city, Alabama",2024,2103,398,18.925,acs5_2024_place_education
1600000US0124880,place,01,24880,"Excel town, Alabama",2024,337,87,25.816,acs5_2024_place_education
1600000US0125120,place,01,25120,"Fairfield city, Alabama",2024,5826,1480,25.403,acs5_2024_place_education
1600000US0125216,place,01,25216,"Fairford CDP, Alabama",2024,135,57,42.222,acs5_2024_place_education
1600000US0125240,place,01,25240,"Fairhope city, Alabama",2024,17920,9596,53.549,acs5_2024_place_education
1600000US0125384,place,01,25384,"Fairview town, Alabama",2024,520,87,16.731,acs5_2024_place_education
1600000US0125648,place,01,25648,"Falkville town, Alabama",2024,1172,96,8.191,acs5_2024_place_education
1600000US0125816,place,01,25816,"Faunsdale town, Alabama",2024,54,6,11.111,acs5_2024_place_education
1600000US0125840,place,01,25840,"Fayette city, Alabama",2024,2788,521,18.687,acs5_2024_place_education
1600000US0125864,place,01,25864,"Fayetteville CDP, Alabama",2024,950,243,25.579,acs5_2024_place_education
1600000US0126152,place,01,26152,"Fitzpatrick CDP, Alabama",2024,0,0,,acs5_2024_place_education
1600000US0126200,place,01,26200,"Five Points town, Alabama",2024,82,4,4.878,acs5_2024_place_education
1600000US0126824,place,01,26824,"Flomaton town, Alabama",2024,925,176,19.027,acs5_2024_place_education
1600000US0126848,place,01,26848,"Florala town, Alabama",2024,1360,106,7.794,acs5_2024_place_education
1600000US0126896,place,01,26896,"Florence city, Alabama",2024,26594,9175,34.5,acs5_2024_place_education
1600000US0126992,place,01,26992,"Foley city, Alabama",2024,18481,4554,24.642,acs5_2024_place_education
1600000US0127088,place,01,27088,"Forestdale CDP, Alabama",2024,6963,1912,27.459,acs5_2024_place_education
1600000US0127376,place,01,27376,"Forkland town, Alabama",2024,430,68,15.814,acs5_2024_place_education
1600000US0127520,place,01,27520,"Fort Deposit town, Alabama",2024,950,92,9.684,acs5_2024_place_education
1600000US0127616,place,01,27616,"Fort Payne city, Alabama",2024,9456,1634,17.28,acs5_2024_place_education
1600000US0127640,place,01,27640,"Fort Rucker CDP, Alabama",2024,2382,1045,43.871,acs5_2024_place_education
1600000US0128024,place,01,28024,"Franklin town, Alabama",2024,679,278,40.943,acs5_2024_place_education
1600000US0128120,place,01,28120,"Fredonia CDP, Alabama",2024,168,24,14.286,acs5_2024_place_education
1600000US0128312,place,01,28312,"Frisco City town, Alabama",2024,999,88,8.809,acs5_2024_place_education
1600000US0128408,place,01,28408,"Fruitdale CDP, Alabama",2024,66,0,0.0,acs5_2024_place_education
1600000US0128432,place,01,28432,"Fruithurst town, Alabama",2024,336,46,13.69,acs5_2024_place_education
1600000US0128504,place,01,28504,"Fulton town, Alabama",2024,261,27,10.345,acs5_2024_place_education
1600000US0128552,place,01,28552,"Fultondale city, Alabama",2024,6225,1789,28.739,acs5_2024_place_education
1600000US0128672,place,01,28672,"Fyffe town, Alabama",2024,917,65,7.088,acs5_2024_place_education
1600000US0128696,place,01,28696,"Gadsden city, Alabama",2024,22181,3433,15.477,acs5_2024_place_education
1600000US0128768,place,01,28768,"Gainesville town, Alabama",2024,135,24,17.778,acs5_2024_place_education
1600000US0128816,place,01,28816,"Gallant CDP, Alabama",2024,694,169,24.352,acs5_2024_place_education
1600000US0128936,place,01,28936,"Gantt town, Alabama",2024,129,42,32.558,acs5_2024_place_education
1600000US0129032,place,01,29032,"Garden City town, Alabama",2024,406,46,11.33,acs5_2024_place_education
1600000US0129056,place,01,29056,"Gardendale city, Alabama",2024,11136,3475,31.205,acs5_2024_place_education
1600000US0129296,place,01,29296,"Gaylesville town, Alabama",2024,105,31,29.524,acs5_2024_place_education
1600000US0129392,place,01,29392,"Geiger town, Alabama",2024,146,25,17.123,acs5_2024_place_education
1600000US0129464,place,01,29464,"Geneva city, Alabama",2024,3255,474,14.562,acs5_2024_place_education
1600000US0129560,place,01,29560,"Georgiana town, Alabama",2024,998,69,6.914,acs5_2024_place_education
1600000US0129608,place,01,29608,"Geraldine town, Alabama",2024,707,90,12.73,acs5_2024_place_education
1600000US0129704,place,01,29704,"Gilbertown town, Alabama",2024,518,55,10.618,acs5_2024_place_education
1600000US0129944,place,01,29944,"Glen Allen town, Alabama",2024,318,23,7.233,acs5_2024_place_education
1600000US0129992,place,01,29992,"Glencoe city, Alabama",2024,3675,897,24.408,acs5_2024_place_education
1600000US0130160,place,01,30160,"Glenwood town, Alabama",2024,93,4,4.301,acs5_2024_place_education
1600000US0130448,place,01,30448,"Goldville town, Alabama",2024,37,1,2.703,acs5_2024_place_education
1600000US0130496,place,01,30496,"Good Hope city, Alabama",2024,1625,307,18.892,acs5_2024_place_education
1600000US0130640,place,01,30640,"Goodwater town, Alabama",2024,984,48,4.878,acs5_2024_place_education
1600000US0130736,place,01,30736,"Gordo town, Alabama",2024,822,142,17.275,acs5_2024_place_education
1600000US0130760,place,01,30760,"Gordon town, Alabama",2024,274,11,4.015,acs5_2024_place_education
1600000US0130808,place,01,30808,"Gordonville town, Alabama",2024,171,8,4.678,acs5_2024_place_education
1600000US0130880,place,01,30880,"Goshen town, Alabama",2024,266,66,24.812,acs5_2024_place_education
1600000US0131000,place,01,31000,"Graham CDP, Alabama",2024,41,0,0.0,acs5_2024_place_education
1600000US0131024,place,01,31024,"Grand Bay CDP, Alabama",2024,2563,436,17.011,acs5_2024_place_education
1600000US0131096,place,01,31096,"Grant town, Alabama",2024,859,250,29.104,acs5_2024_place_education
1600000US0131348,place,01,31348,"Grayson Valley CDP, Alabama",2024,3828,1248,32.602,acs5_2024_place_education
1600000US0131384,place,01,31384,"Graysville city, Alabama",2024,1870,304,16.257,acs5_2024_place_education
1600000US0131720,place,01,31720,"Greensboro city, Alabama",2024,1743,238,13.655,acs5_2024_place_education
1600000US0131912,place,01,31912,"Greenville city, Alabama",2024,4811,767,15.943,acs5_2024_place_education
1600000US0132056,place,01,32056,"Grimes town, Alabama",2024,379,40,10.554,acs5_2024_place_education
1600000US0132080,place,01,32080,"Grove Hill town, Alabama",2024,1554,366,23.552,acs5_2024_place_education
1600000US0132224,place,01,32224,"Guin city, Alabama",2024,1635,314,19.205,acs5_2024_place_education
1600000US0132248,place,01,32248,"Gulfcrest CDP, Alabama",2024,61,0,0.0,acs5_2024_place_education
1600000US0132272,place,01,32272,"Gulf Shores city, Alabama",2024,12581,5014,39.854,acs5_2024_place_education
1600000US0132416,place,01,32416,"Guntersville city, Alabama",2024,6254,2085,33.339,acs5_2024_place_education
1600000US0132440,place,01,32440,"Gurley town, Alabama",2024,409,90,22.005,acs5_2024_place_education
1600000US0132536,place,01,32536,"Gu-Win town, Alabama",2024,86,10,11.628,acs5_2024_place_education
1600000US0132560,place,01,32560,"Hackleburg town, Alabama",2024,947,66,6.969,acs5_2024_place_education
1600000US0132584,place,01,32584,"Hackneyville CDP, Alabama",2024,242,9,3.719,acs5_2024_place_education
1600000US0132656,place,01,32656,"Haleburg town, Alabama",2024,137,32,23.358,acs5_2024_place_education
1600000US0132704,place,01,32704,"Haleyville city, Alabama",2024,2772,222,8.009,acs5_2024_place_education
1600000US0132848,place,01,32848,"Hamilton city, Alabama",2024,5155,802,15.558,acs5_2024_place_education
1600000US0132896,place,01,32896,"Hammondville town, Alabama",2024,252,29,11.508,acs5_2024_place_education
1600000US0132968,place,01,32968,"Hanceville city, Alabama",2024,2431,265,10.901,acs5_2024_place_education
1600000US0133064,place,01,33064,"Hanover CDP, Alabama",2024,176,11,6.25,acs5_2024_place_education
1600000US0133256,place,01,33256,"Harpersville town, Alabama",2024,1272,220,17.296,acs5_2024_place_education
1600000US0133424,place,01,33424,"Hartford city, Alabama",2024,1837,212,11.541,acs5_2024_place_education
1600000US0133448,place,01,33448,"Hartselle city, Alabama",2024,10518,2933,27.886,acs5_2024_place_education
1600000US0133472,place,01,33472,"Harvest CDP, Alabama",2024,4124,1592,38.603,acs5_2024_place_education
1600000US0133544,place,01,33544,"Hatton CDP, Alabama",2024,234,16,6.838,acs5_2024_place_education
1600000US0133640,place,01,33640,"Hayden town, Alabama",2024,1040,243,23.365,acs5_2024_place_education
1600000US0133712,place,01,33712,"Hayneville town, Alabama",2024,547,61,11.152,acs5_2024_place_education
1600000US0133808,place,01,33808,"Hazel Green CDP, Alabama",2024,2622,948,36.156,acs5_2024_place_education
1600000US0133856,place,01,33856,"Headland city, Alabama",2024,3460,1162,33.584,acs5_2024_place_education
1600000US0133904,place,01,33904,"Heath town, Alabama",2024,233,27,11.588,acs5_2024_place_education
1600000US0133976,place,01,33976,"Heflin city, Alabama",2024,2604,412,15.822,acs5_2024_place_education
1600000US0134024,place,01,34024,"Helena city, Alabama",2024,14301,7353,51.416,acs5_2024_place_education
1600000US0134096,place,01,34096,"Henagar city, Alabama",2024,1690,161,9.527,acs5_2024_place_education
1600000US0134480,place,01,34480,"Highland Lake town, Alabama",2024,418,124,29.665,acs5_2024_place_education
1600000US0134490,place,01,34490,"Highland Lakes CDP, Alabama",2024,4274,3141,73.491,acs5_2024_place_education
1600000US0134816,place,01,34816,"Hillsboro town, Alabama",2024,444,49,11.036,acs5_2024_place_education
1600000US0134984,place,01,34984,"Hissop CDP, Alabama",2024,194,0,0.0,acs5_2024_place_education
1600000US0135130,place,01,35130,"Hobson CDP, Alabama",2024,130,29,22.308,acs5_2024_place_education
1600000US0135152,place,01,35152,"Hobson City town, Alabama",2024,654,59,9.021,acs5_2024_place_education
1600000US0135200,place,01,35200,"Hodges town, Alabama",2024,260,36,13.846,acs5_2024_place_education
1600000US0135392,place,01,35392,"Hokes Bluff city, Alabama",2024,3411,831,24.362,acs5_2024_place_education
1600000US0135512,place,01,35512,"Hollins CDP, Alabama",2024,342,48,14.035,acs5_2024_place_education
1600000US0135536,place,01,35536,"Hollis Crossroads CDP, Alabama",2024,563,7,1.243,acs5_2024_place_education
1600000US0135560,place,01,35560,"Holly Pond town, Alabama",2024,548,65,11.861,acs5_2024_place_education
1600000US0135632,place,01,35632,"Hollywood town, Alabama",2024,651,46,7.066,acs5_2024_place_education
1600000US0135704,place,01,35704,"Holt CDP, Alabama",2024,2268,151,6.658,acs5_2024_place_education
1600000US0135752,place,01,35752,"Holtville CDP, Alabama",2024,3270,769,23.517,acs5_2024_place_education
1600000US0135800,place,01,35800,"Homewood city, Alabama",2024,15572,11033,70.852,acs5_2024_place_education
1600000US0135896,place,01,35896,"Hoover city, Alabama",2024,63628,39814,62.573,acs5_2024_place_education
