census_geoid,state_fips,place_fips,geography_name,acs_vintage,median_home_value,median_gross_rent,renter_cost_burden_30_pct_plus,renter_cost_burden_universe,source_id
1600000US0107912,01,07912,"Boaz city, Alabama",2024,199200,663,28.1,1169,acs5_2024_place_housing
1600000US0108104,01,08104,"Boligee town, Alabama",2024,55600,392,23.4,77,acs5_2024_place_housing
1600000US0108248,01,08248,"Bon Air town, Alabama",2024,73000,910,100.0,13,acs5_2024_place_housing
1600000US0108272,01,08272,"Bon Secour CDP, Alabama",2024,309800,961,6.7,297,acs5_2024_place_housing
1600000US0108680,01,08680,"Boykin CDP, Alabama",2024,,,0.0,5,acs5_2024_place_housing
1600000US0109016,01,09016,"Brantley town, Alabama",2024,142200,377,27.7,173,acs5_2024_place_housing
1600000US0109064,01,09064,"Brantleyville CDP, Alabama",2024,33000,1102,48.3,60,acs5_2024_place_housing
1600000US0109136,01,09136,"Brent city, Alabama",2024,146500,537,71.7,498,acs5_2024_place_housing
1600000US0109208,01,09208,"Brewton city, Alabama",2024,150100,695,54.3,545,acs5_2024_place_housing
1600000US0109328,01,09328,"Bridgeport city, Alabama",2024,94000,569,40.1,474,acs5_2024_place_housing
1600000US0109400,01,09400,"Brighton city, Alabama",2024,70800,656,39.9,233,acs5_2024_place_housing
1600000US0109424,01,09424,"Brilliant town, Alabama",2024,47200,477,48.9,174,acs5_2024_place_housing
1600000US0109457,01,09457,"Bristow Cove CDP, Alabama",2024,,,0.0,24,acs5_2024_place_housing
1600000US0109500,01,09500,"Brook Highland CDP, Alabama",2024,427400,1460,51.7,2060,acs5_2024_place_housing
1600000US0109736,01,09736,"Brookside town, Alabama",2024,107400,1098,37.9,182,acs5_2024_place_housing
1600000US0109808,01,09808,"Brookwood town, Alabama",2024,188300,1097,53.0,100,acs5_2024_place_housing
1600000US0109880,01,09880,"Broomtown CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0110240,01,10240,"Brundidge city, Alabama",2024,94000,542,62.1,412,acs5_2024_place_housing
1600000US0110456,01,10456,"Bucks CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0111032,01,11032,"Butler town, Alabama",2024,145300,744,32.2,283,acs5_2024_place_housing
1600000US0111416,01,11416,"Calera city, Alabama",2024,235300,1601,39.8,1384,acs5_2024_place_housing
1600000US0111488,01,11488,"Calvert CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0111512,01,11512,"Camden city, Alabama",2024,132300,576,54.3,186,acs5_2024_place_housing
1600000US0111680,01,11680,"Camp Hill town, Alabama",2024,65000,600,42.2,128,acs5_2024_place_housing
1600000US0112016,01,12016,"Carbon Hill city, Alabama",2024,61100,557,64.6,229,acs5_2024_place_housing
1600000US0112040,01,12040,"Cardiff town, Alabama",2024,80000,326,97.4,76,acs5_2024_place_housing
1600000US0112070,01,12070,"Carlisle-Rockledge CDP, Alabama",2024,115900,550,13.7,139,acs5_2024_place_housing
1600000US0112112,01,12112,"Carlton CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0112160,01,12160,"Carolina town, Alabama",2024,152500,669,8.7,23,acs5_2024_place_housing
1600000US0112304,01,12304,"Carrollton town, Alabama",2024,145800,436,18.1,160,acs5_2024_place_housing
1600000US0112496,01,12496,"Castleberry town, Alabama",2024,51400,686,59.1,44,acs5_2024_place_housing
1600000US0112544,01,12544,"Catherine CDP, Alabama",2024,,,0.0,8,acs5_2024_place_housing
1600000US0112760,01,12760,"Cedar Bluff town, Alabama",2024,204800,642,32.5,194,acs5_2024_place_housing
1600000US0113264,01,13264,"Center Point city, Alabama",2024,151700,1218,53.4,2317,acs5_2024_place_housing
1600000US0113648,01,13648,"Centre city, Alabama",2024,158400,594,41.1,509,acs5_2024_place_housing
1600000US0113672,01,13672,"Centreville city, Alabama",2024,161300,731,50.8,366,acs5_2024_place_housing
1600000US0114008,01,14008,"Chatom town, Alabama",2024,174100,382,19.8,81,acs5_2024_place_housing
1600000US0114104,01,14104,"Chelsea city, Alabama",2024,360000,1414,13.5,570,acs5_2024_place_housing
1600000US0114152,01,14152,"Cherokee town, Alabama",2024,102300,902,33.6,128,acs5_2024_place_housing
1600000US0114202,01,14202,"Cherokee Ridge town, Alabama",2024,336400,,,0,acs5_2024_place_housing
1600000US0114392,01,14392,"Chickasaw city, Alabama",2024,117500,960,57.9,1094,acs5_2024_place_housing
1600000US0114464,01,14464,"Childersburg city, Alabama",2024,133500,793,36.7,845,acs5_2024_place_housing
1600000US0114728,01,14728,"Choccolocco CDP, Alabama",2024,262900,858,20.2,168,acs5_2024_place_housing
1600000US0114968,01,14968,"Chunchula CDP, Alabama",2024,57400,,,0,acs5_2024_place_housing
1600000US0115064,01,15064,"Citronelle city, Alabama",2024,193500,769,11.2,436,acs5_2024_place_housing
1600000US0115136,01,15136,"Clanton city, Alabama",2024,166300,869,35.8,1375,acs5_2024_place_housing
1600000US0115256,01,15256,"Clay city, Alabama",2024,220600,2240,47.0,355,acs5_2024_place_housing
1600000US0115304,01,15304,"Clayhatchee town, Alabama",2024,99200,855,16.7,42,acs5_2024_place_housing
1600000US0115376,01,15376,"Clayton city, Alabama",2024,72300,766,25.1,255,acs5_2024_place_housing
1600000US0115472,01,15472,"Cleveland town, Alabama",2024,165600,986,17.4,69,acs5_2024_place_housing
1600000US0115640,01,15640,"Clio city, Alabama",2024,65600,434,35.7,235,acs5_2024_place_housing
1600000US0116000,01,16000,"Coaling city, Alabama",2024,228000,1254,41.6,77,acs5_2024_place_housing
1600000US0116080,01,16080,"Coats Bend CDP, Alabama",2024,149600,,0.0,45,acs5_2024_place_housing
1600000US0116240,01,16240,"Coffee Springs town, Alabama",2024,69200,954,10.0,20,acs5_2024_place_housing
1600000US0116264,01,16264,"Coffeeville town, Alabama",2024,82000,,2.4,41,acs5_2024_place_housing
1600000US0116312,01,16312,"Coker town, Alabama",2024,200700,1353,43.8,73,acs5_2024_place_housing
1600000US0116600,01,16600,"Collinsville city, Alabama",2024,59000,545,44.7,253,acs5_2024_place_housing
1600000US0116684,01,16684,"Colony town, Alabama",2024,48600,625,10.5,19,acs5_2024_place_housing
1600000US0116744,01,16744,"Columbia town, Alabama",2024,156800,760,41.2,68,acs5_2024_place_housing
1600000US0116768,01,16768,"Columbiana city, Alabama",2024,259500,940,34.8,491,acs5_2024_place_housing
1600000US0116936,01,16936,"Concord CDP, Alabama",2024,173500,775,16.9,65,acs5_2024_place_housing
1600000US0117176,01,17176,"Coosada town, Alabama",2024,169900,925,10.6,47,acs5_2024_place_housing
1600000US0117368,01,17368,"Cordova town, Alabama",2024,87100,460,40.4,213,acs5_2024_place_housing
1600000US0117704,01,17704,"Cottondale CDP, Alabama",2024,139200,935,48.7,226,acs5_2024_place_housing
1600000US0117824,01,17824,"Cottonwood town, Alabama",2024,111500,339,17.9,162,acs5_2024_place_housing
1600000US0117968,01,17968,"County Line town, Alabama",2024,95000,694,45.0,20,acs5_2024_place_housing
1600000US0118040,01,18040,"Courtland town, Alabama",2024,,655,47.8,69,acs5_2024_place_housing
1600000US0118088,01,18088,"Cowarts town, Alabama",2024,177700,902,41.8,232,acs5_2024_place_housing
1600000US0118304,01,18304,"Creola town, Alabama",2024,211000,959,23.6,127,acs5_2024_place_housing
1600000US0118856,01,18856,"Crossville town, Alabama",2024,129900,695,39.6,217,acs5_2024_place_housing
1600000US0118952,01,18952,"Cuba town, Alabama",2024,197900,532,55.6,36,acs5_2024_place_housing
1600000US0118976,01,18976,"Cullman city, Alabama",2024,238900,925,34.0,3096,acs5_2024_place_housing
1600000US0119024,01,19024,"Cullomburg CDP, Alabama",2024,,,0.0,10,acs5_2024_place_housing
1600000US0119216,01,19216,"Cusseta town, Alabama",2024,,1042,23.5,34,acs5_2024_place_housing
1600000US0119336,01,19336,"Dadeville city, Alabama",2024,171600,1110,20.8,288,acs5_2024_place_housing
1600000US0119360,01,19360,"Daleville city, Alabama",2024,126000,864,38.7,1141,acs5_2024_place_housing
1600000US0119648,01,19648,"Daphne city, Alabama",2024,323400,1388,34.1,3269,acs5_2024_place_housing
1600000US0119744,01,19744,"Dauphin Island town, Alabama",2024,432200,1844,18.2,22,acs5_2024_place_housing
1600000US0119816,01,19816,"Daviston town, Alabama",2024,120800,,0.0,2,acs5_2024_place_housing
1600000US0119912,01,19912,"Dayton town, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0120008,01,20008,"Deatsville town, Alabama",2024,246600,1394,26.8,97,acs5_2024_place_housing
1600000US0120104,01,20104,"Decatur city, Alabama",2024,210200,896,41.9,8713,acs5_2024_place_housing
1600000US0120152,01,20152,"Deer Park CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0120272,01,20272,"Delta CDP, Alabama",2024,109700,,,0,acs5_2024_place_housing
1600000US0120296,01,20296,"Demopolis city, Alabama",2024,183600,692,51.4,1510,acs5_2024_place_housing
1600000US0120392,01,20392,"Detroit town, Alabama",2024,75000,377,9.8,41,acs5_2024_place_housing
1600000US0120955,01,20955,"Dodge City town, Alabama",2024,147100,667,36.0,25,acs5_2024_place_housing
1600000US0121136,01,21136,"Dora city, Alabama",2024,155100,761,22.3,287,acs5_2024_place_housing
1600000US0121184,01,21184,"Dothan city, Alabama",2024,194000,960,43.5,12599,acs5_2024_place_housing
1600000US0121280,01,21280,"Double Springs town, Alabama",2024,153500,481,40.0,150,acs5_2024_place_housing
1600000US0121328,01,21328,"Douglas town, Alabama",2024,175400,905,56.7,141,acs5_2024_place_housing
1600000US0121448,01,21448,"Dozier town, Alabama",2024,76400,606,14.7,102,acs5_2024_place_housing
1600000US0121890,01,21890,"Dunnavant CDP, Alabama",2024,193100,,31.5,108,acs5_2024_place_housing
1600000US0121952,01,21952,"Dutton town, Alabama",2024,113800,769,12.5,32,acs5_2024_place_housing
1600000US0122088,01,22088,"Eagle Point CDP, Alabama",2024,493800,,21.3,61,acs5_2024_place_housing
1600000US0122216,01,22216,"East Brewton city, Alabama",2024,87200,732,51.1,440,acs5_2024_place_housing
1600000US0122504,01,22504,"East Point CDP, Alabama",2024,230600,,0.0,8,acs5_2024_place_housing
1600000US0122816,01,22816,"Eclectic town, Alabama",2024,161800,699,40.5,148,acs5_2024_place_housing
1600000US0123032,01,23032,"Edgewater CDP, Alabama",2024,,,0.0,44,acs5_2024_place_housing
1600000US0123176,01,23176,"Edwardsville town, Alabama",2024,143800,,25.0,8,acs5_2024_place_housing
1600000US0123224,01,23224,"Egypt CDP, Alabama",2024,207600,,37.8,37,acs5_2024_place_housing
1600000US0123296,01,23296,"Elba city, Alabama",2024,114500,653,25.1,342,acs5_2024_place_housing
1600000US0123320,01,23320,"Elberta town, Alabama",2024,232800,1059,47.3,292,acs5_2024_place_housing
1600000US0123344,01,23344,"Eldridge town, Alabama",2024,131300,,,0,acs5_2024_place_housing
1600000US0123488,01,23488,"Elkmont town, Alabama",2024,234100,388,16.0,50,acs5_2024_place_housing
1600000US0123656,01,23656,"Elmore town, Alabama",2024,107500,986,57.2,194,acs5_2024_place_housing
1600000US0123872,01,23872,"Emelle town, Alabama",2024,73300,,0.0,6,acs5_2024_place_housing
1600000US0123880,01,23880,"Emerald Mountain CDP, Alabama",2024,321300,,0.0,43,acs5_2024_place_housing
1600000US0124184,01,24184,"Enterprise city, Alabama",2024,202900,1098,36.7,4087,acs5_2024_place_housing
1600000US0124256,01,24256,"Epes town, Alabama",2024,56700,,0.0,9,acs5_2024_place_housing
1600000US0124280,01,24280,"Equality CDP, Alabama",2024,295000,,,0,acs5_2024_place_housing
1600000US0124472,01,24472,"Ethelsville town, Alabama",2024,166700,,0.0,5,acs5_2024_place_housing
1600000US0124568,01,24568,"Eufaula city, Alabama",2024,139900,698,31.2,1935,acs5_2024_place_housing
1600000US0124616,01,24616,"Eunola CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0124664,01,24664,"Eutaw city, Alabama",2024,99100,442,40.2,774,acs5_2024_place_housing
1600000US0124688,01,24688,"Eva town, Alabama",2024,246500,633,15.6,32,acs5_2024_place_housing
1600000US0124808,01,24808,"Evergreen city, Alabama",2024,98700,927,24.2,500,acs5_2024_place_housing
1600000US0124880,01,24880,"Excel town, Alabama",2024,153600,582,68.1,47,acs5_2024_place_housing
1600000US0125120,01,25120,"Fairfield city, Alabama",2024,129300,1008,62.3,1534,acs5_2024_place_housing
1600000US0125216,01,25216,"Fairford CDP, Alabama",2024,221500,,,0,acs5_2024_place_housing
1600000US0125240,01,25240,"Fairhope city, Alabama",2024,430900,1689,51.0,1899,acs5_2024_place_housing
1600000US0125384,01,25384,"Fairview town, Alabama",2024,257700,689,43.0,86,acs5_2024_place_housing
1600000US0125648,01,25648,"Falkville town, Alabama",2024,139600,693,34.5,110,acs5_2024_place_housing
1600000US0125816,01,25816,"Faunsdale town, Alabama",2024,,,0.0,2,acs5_2024_place_housing
1600000US0125840,01,25840,"Fayette city, Alabama",2024,122000,640,27.0,693,acs5_2024_place_housing
1600000US0125864,01,25864,"Fayetteville CDP, Alabama",2024,298500,,0.0,44,acs5_2024_place_housing
1600000US0126152,01,26152,"Fitzpatrick CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0126200,01,26200,"Five Points town, Alabama",2024,119800,,100.0,4,acs5_2024_place_housing
1600000US0126824,01,26824,"Flomaton town, Alabama",2024,111200,742,1.4,210,acs5_2024_place_housing
1600000US0126848,01,26848,"Florala town, Alabama",2024,91600,706,21.3,356,acs5_2024_place_housing
1600000US0126896,01,26896,"Florence city, Alabama",2024,196300,820,34.9,8506,acs5_2024_place_housing
1600000US0126992,01,26992,"Foley city, Alabama",2024,289300,1242,59.9,3281,acs5_2024_place_housing
1600000US0127088,01,27088,"Forestdale CDP, Alabama",2024,164000,1203,46.0,1231,acs5_2024_place_housing
1600000US0127376,01,27376,"Forkland town, Alabama",2024,66200,,5.5,73,acs5_2024_place_housing
1600000US0127520,01,27520,"Fort Deposit town, Alabama",2024,78000,467,55.8,231,acs5_2024_place_housing
1600000US0127616,01,27616,"Fort Payne city, Alabama",2024,157000,679,34.5,1695,acs5_2024_place_housing
1600000US0127640,01,27640,"Fort Rucker CDP, Alabama",2024,,1441,19.9,1367,acs5_2024_place_housing
1600000US0128024,01,28024,"Franklin town, Alabama",2024,77900,746,65.8,76,acs5_2024_place_housing
1600000US0128120,01,28120,"Fredonia CDP, Alabama",2024,237500,,100.0,19,acs5_2024_place_housing
1600000US0128312,01,28312,"Frisco City town, Alabama",2024,84800,698,33.8,157,acs5_2024_place_housing
1600000US0128408,01,28408,"Fruitdale CDP, Alabama",2024,,,0.0,24,acs5_2024_place_housing
1600000US0128432,01,28432,"Fruithurst town, Alabama",2024,95500,807,25.0,56,acs5_2024_place_housing
1600000US0128504,01,28504,"Fulton town, Alabama",2024,117300,,0.0,22,acs5_2024_place_housing
1600000US0128552,01,28552,"Fultondale city, Alabama",2024,186100,1269,41.8,1232,acs5_2024_place_housing
1600000US0128672,01,28672,"Fyffe town, Alabama",2024,113300,565,21.0,138,acs5_2024_place_housing
1600000US0128696,01,28696,"Gadsden city, Alabama",2024,116800,808,45.4,5649,acs5_2024_place_housing
1600000US0128768,01,28768,"Gainesville town, Alabama",2024,,937,54.2,48,acs5_2024_place_housing
1600000US0128816,01,28816,"Gallant CDP, Alabama",2024,99200,,,0,acs5_2024_place_housing
1600000US0128936,01,28936,"Gantt town, Alabama",2024,139300,1000,57.1,7,acs5_2024_place_housing
1600000US0129032,01,29032,"Garden City town, Alabama",2024,108700,,5.1,39,acs5_2024_place_housing
1600000US0129056,01,29056,"Gardendale city, Alabama",2024,252600,1299,49.6,1437,acs5_2024_place_housing
1600000US0129296,01,29296,"Gaylesville town, Alabama",2024,137500,,12.5,16,acs5_2024_place_housing
1600000US0129392,01,29392,"Geiger town, Alabama",2024,,825,33.3,9,acs5_2024_place_housing
1600000US0129464,01,29464,"Geneva city, Alabama",2024,100600,564,45.1,439,acs5_2024_place_housing
1600000US0129560,01,29560,"Georgiana town, Alabama",2024,69100,542,51.9,374,acs5_2024_place_housing
1600000US0129608,01,29608,"Geraldine town, Alabama",2024,171900,417,43.9,132,acs5_2024_place_housing
1600000US0129704,01,29704,"Gilbertown town, Alabama",2024,160400,983,18.4,49,acs5_2024_place_housing
1600000US0129944,01,29944,"Glen Allen town, Alabama",2024,89600,,0.0,8,acs5_2024_place_housing
1600000US0129992,01,29992,"Glencoe city, Alabama",2024,206100,736,45.1,366,acs5_2024_place_housing
1600000US0130160,01,30160,"Glenwood town, Alabama",2024,,814,33.3,21,acs5_2024_place_housing
1600000US0130448,01,30448,"Goldville town, Alabama",2024,33800,,0.0,9,acs5_2024_place_housing
1600000US0130496,01,30496,"Good Hope city, Alabama",2024,203100,884,21.2,236,acs5_2024_place_housing
1600000US0130640,01,30640,"Goodwater town, Alabama",2024,58900,650,56.4,275,acs5_2024_place_housing
1600000US0130736,01,30736,"Gordo town, Alabama",2024,118900,528,53.6,194,acs5_2024_place_housing
1600000US0130760,01,30760,"Gordon town, Alabama",2024,86700,925,32.4,68,acs5_2024_place_housing
1600000US0130808,01,30808,"Gordonville town, Alabama",2024,68100,,13.6,22,acs5_2024_place_housing
1600000US0130880,01,30880,"Goshen town, Alabama",2024,118200,894,27.1,48,acs5_2024_place_housing
1600000US0131000,01,31000,"Graham CDP, Alabama",2024,,,,0,acs5_2024_place_housing
1600000US0131024,01,31024,"Grand Bay CDP, Alabama",2024,142400,951,59.2,419,acs5_2024_place_housing
1600000US0131096,01,31096,"Grant town, Alabama",2024,239400,543,31.0,71,acs5_2024_place_housing
1600000US0131348,01,31348,"Grayson Valley CDP, Alabama",2024,148400,1312,55.9,817,acs5_2024_place_housing
1600000US0131384,01,31384,"Graysville city, Alabama",2024,116900,1120,25.3,431,acs5_2024_place_housing
1600000US0131720,01,31720,"Greensboro city, Alabama",2024,130000,669,50.6,571,acs5_2024_place_housing
1600000US0131912,01,31912,"Greenville city, Alabama",2024,115000,730,38.8,1649,acs5_2024_place_housing
1600000US0132056,01,32056,"Grimes town, Alabama",2024,105100,872,68.2,66,acs5_2024_place_housing
1600000US0132080,01,32080,"Grove Hill town, Alabama",2024,126800,838,40.6,207,acs5_2024_place_housing
1600000US0132224,01,32224,"Guin city, Alabama",2024,112000,603,66.8,289,acs5_2024_place_housing
1600000US0132248,01,32248,"Gulfcrest CDP, Alabama",2024,,,100.0,10,acs5_2024_place_housing
1600000US0132272,01,32272,"Gulf Shores city, Alabama",2024,382700,1483,42.5,2216,acs5_2024_place_housing
1600000US0132416,01,32416,"Guntersville city, Alabama",2024,324800,842,38.0,1212,acs5_2024_place_housing
1600000US0132440,01,32440,"Gurley town, Alabama",2024,194800,1054,51.4,70,acs5_2024_place_housing
1600000US0132536,01,32536,"Gu-Win town, Alabama",2024,177800,,33.3,3,acs5_2024_place_housing
1600000US0132560,01,32560,"Hackleburg town, Alabama",2024,104700,525,21.2,132,acs5_2024_place_housing
1600000US0132584,01,32584,"Hackneyville CDP, Alabama",2024,,,17.8,45,acs5_2024_place_housing
1600000US0132656,01,32656,"Haleburg town, Alabama",2024,205000,,72.7,11,acs5_2024_place_housing
1600000US0132704,01,32704,"Haleyville city, Alabama",2024,97600,758,27.9,799,acs5_2024_place_housing
1600000US0132848,01,32848,"Hamilton city, Alabama",2024,106300,599,40.0,859,acs5_2024_place_housing
1600000US0132896,01,32896,"Hammondville town, Alabama",2024,113900,569,37.5,16,acs5_2024_place_housing
1600000US0132968,01,32968,"Hanceville city, Alabama",2024,169800,812,66.4,568,acs5_2024_place_housing
1600000US0133064,01,33064,"Hanover CDP, Alabama",2024,9999,,0.0,15,acs5_2024_place_housing
1600000US0133256,01,33256,"Harpersville town, Alabama",2024,211300,843,12.9,132,acs5_2024_place_housing
1600000US0133424,01,33424,"Hartford city, Alabama",2024,160800,802,24.8,351,acs5_2024_place_housing
1600000US0133448,01,33448,"Hartselle city, Alabama",2024,203800,804,47.0,1299,acs5_2024_place_housing
1600000US0133472,01,33472,"Harvest CDP, Alabama",2024,281300,1236,39.3,379,acs5_2024_place_housing
1600000US0133544,01,33544,"Hatton CDP, Alabama",2024,,,0.0,58,acs5_2024_place_housing
1600000US0133640,01,33640,"Hayden town, Alabama",2024,230700,799,65.9,44,acs5_2024_place_housing
1600000US0133712,01,33712,"Hayneville town, Alabama",2024,103500,819,18.6,145,acs5_2024_place_housing
1600000US0133808,01,33808,"Hazel Green CDP, Alabama",2024,230800,992,36.7,169,acs5_2024_place_housing
1600000US0133856,01,33856,"Headland city, Alabama",2024,219600,822,9.6,396,acs5_2024_place_housing
1600000US0133904,01,33904,"Heath town, Alabama",2024,89200,377,3.6,83,acs5_2024_place_housing
1600000US0133976,01,33976,"Heflin city, Alabama",2024,171700,755,57.7,475,acs5_2024_place_housing
1600000US0134024,01,34024,"Helena city, Alabama",2024,330700,1574,58.3,677,acs5_2024_place_housing
1600000US0134096,01,34096,"Henagar city, Alabama",2024,144700,1048,28.9,253,acs5_2024_place_housing
1600000US0134480,01,34480,"Highland Lake town, Alabama",2024,285500,,10.0,20,acs5_2024_place_housing
1600000US0134490,01,34490,"Highland Lakes CDP, Alabama",2024,599200,1201,0.0,74,acs5_2024_place_housing
1600000US0134816,01,34816,"Hillsboro town, Alabama",2024,121100,681,8.3,48,acs5_2024_place_housing
1600000US0134984,01,34984,"Hissop CDP, Alabama",2024,,,100.0,9,acs5_2024_place_housing
1600000US0135130,01,35130,"Hobson CDP, Alabama",2024,223000,,,0,acs5_2024_place_housing
1600000US0135152,01,35152,"Hobson City town, Alabama",2024,108200,475,44.4,124,acs5_2024_place_housing
1600000US0135200,01,35200,"Hodges town, Alabama",2024,153300,638,81.0,21,acs5_2024_place_housing
1600000US0135392,01,35392,"Hokes Bluff city, Alabama",2024,196400,,0.0,149,acs5_2024_place_housing
1600000US0135512,01,35512,"Hollins CDP, Alabama",2024,92400,,0.0,41,acs5_2024_place_housing
1600000US0135536,01,35536,"Hollis Crossroads CDP, Alabama",2024,120600,,75.0,40,acs5_2024_place_housing
1600000US0135560,01,35560,"Holly Pond town, Alabama",2024,200000,740,42.1,140,acs5_2024_place_housing
