observation_id,nces_school_id,nces_district_id,test_type,metric_name,metric_value,score_year,students_tested,participation_rate,aggregation_method,source_type,source_id,confidence,notes
ky_2101760_act_2024_25,,2101760,ACT,average_composite,17,2024-25,161,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101800_act_2024_25,,2101800,ACT,average_composite,15.8,2024-25,37,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101860_act_2024_25,,2101860,ACT,average_composite,19,2024-25,2789,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101920_act_2024_25,,2101920,ACT,average_composite,17.8,2024-25,146,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101950_act_2024_25,,2101950,ACT,average_composite,16.6,2024-25,385,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2101980_act_2024_25,,2101980,ACT,average_composite,19.6,2024-25,92,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102010_act_2024_25,,2102010,ACT,average_composite,18,2024-25,416,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102040_act_2024_25,,2102040,ACT,average_composite,22.6,2024-25,285,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102070_act_2024_25,,2102070,ACT,average_composite,15,2024-25,13,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102100_act_2024_25,,2102100,ACT,average_composite,16.7,2024-25,47,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102130_act_2024_25,,2102130,ACT,average_composite,15.5,2024-25,113,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102160_act_2024_25,,2102160,ACT,average_composite,17.5,2024-25,204,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102220_act_2024_25,,2102220,ACT,average_composite,18.1,2024-25,148,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102250_act_2024_25,,2102250,ACT,average_composite,17.2,2024-25,229,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102280_act_2024_25,,2102280,ACT,average_composite,18.1,2024-25,271,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102300_act_2024_25,,2102300,ACT,average_composite,17.4,2024-25,278,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102340_act_2024_25,,2102340,ACT,average_composite,16.8,2024-25,117,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102400_act_2024_25,,2102400,ACT,average_composite,16.6,2024-25,204,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102460_act_2024_25,,2102460,ACT,average_composite,17.3,2024-25,125,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102490_act_2024_25,,2102490,ACT,average_composite,18.1,2024-25,1069,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102520_act_2024_25,,2102520,ACT,average_composite,20.5,2024-25,40,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102540_act_2024_25,,2102540,ACT,average_composite,17.9,2024-25,207,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102580_act_2024_25,,2102580,ACT,average_composite,17.3,2024-25,239,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102640_act_2024_25,,2102640,ACT,average_composite,17.4,2024-25,133,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102670_act_2024_25,,2102670,ACT,average_composite,19,2024-25,73,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102710_act_2024_25,,2102710,ACT,average_composite,18.5,2024-25,534,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102760_act_2024_25,,2102760,ACT,average_composite,16.8,2024-25,119,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102790_act_2024_25,,2102790,ACT,average_composite,18.9,2024-25,47,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102860_act_2024_25,,2102860,ACT,average_composite,17.5,2024-25,425,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102910_act_2024_25,,2102910,ACT,average_composite,18.3,2024-25,10,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102940_act_2024_25,,2102940,ACT,average_composite,17.4,2024-25,118,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2102990_act_2024_25,,2102990,ACT,average_composite,17.4,2024-25,6433,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103000_act_2024_25,,2103000,ACT,average_composite,17.7,2024-25,28,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103030_act_2024_25,,2103030,ACT,average_composite,18.4,2024-25,629,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103060_act_2024_25,,2103060,ACT,average_composite,18.1,2024-25,249,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103090_act_2024_25,,2103090,ACT,average_composite,18.6,2024-25,1039,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103120_act_2024_25,,2103120,ACT,average_composite,17.3,2024-25,153,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103150_act_2024_25,,2103150,ACT,average_composite,16.1,2024-25,218,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103180_act_2024_25,,2103180,ACT,average_composite,18.2,2024-25,185,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103210_act_2024_25,,2103210,ACT,average_composite,18.4,2024-25,547,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103240_act_2024_25,,2103240,ACT,average_composite,16.2,2024-25,179,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103270_act_2024_25,,2103270,ACT,average_composite,16.2,2024-25,41,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103330_act_2024_25,,2103330,ACT,average_composite,19.3,2024-25,99,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103360_act_2024_25,,2103360,ACT,average_composite,18.2,2024-25,144,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103390_act_2024_25,,2103390,ACT,average_composite,17.3,2024-25,123,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103480_act_2024_25,,2103480,ACT,average_composite,17.2,2024-25,204,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103510_act_2024_25,,2103510,ACT,average_composite,17.8,2024-25,67,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103540_act_2024_25,,2103540,ACT,average_composite,18.5,2024-25,228,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103630_act_2024_25,,2103630,ACT,average_composite,17.3,2024-25,68,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103690_act_2024_25,,2103690,ACT,average_composite,16.8,2024-25,68,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103720_act_2024_25,,2103720,ACT,average_composite,18.9,2024-25,796,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103750_act_2024_25,,2103750,ACT,average_composite,15.9,2024-25,126,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103780_act_2024_25,,2103780,ACT,average_composite,17.4,2024-25,228,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103810_act_2024_25,,2103810,ACT,average_composite,18.3,2024-25,309,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103840_act_2024_25,,2103840,ACT,average_composite,17,2024-25,132,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103870_act_2024_25,,2103870,ACT,average_composite,18,2024-25,181,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103900_act_2024_25,,2103900,ACT,average_composite,16.8,2024-25,127,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103960_act_2024_25,,2103960,ACT,average_composite,20,2024-25,431,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2103990_act_2024_25,,2103990,ACT,average_composite,16,2024-25,158,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104020_act_2024_25,,2104020,ACT,average_composite,17.8,2024-25,99,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104050_act_2024_25,,2104050,ACT,average_composite,17.7,2024-25,376,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104080_act_2024_25,,2104080,ACT,average_composite,16.7,2024-25,70,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104110_act_2024_25,,2104110,ACT,average_composite,18.5,2024-25,185,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104140_act_2024_25,,2104140,ACT,average_composite,16.9,2024-25,85,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104170_act_2024_25,,2104170,ACT,average_composite,17.8,2024-25,95,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104200_act_2024_25,,2104200,ACT,average_composite,17.1,2024-25,136,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104250_act_2024_25,,2104250,ACT,average_composite,18,2024-25,312,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104290_act_2024_25,,2104290,ACT,average_composite,17,2024-25,145,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104380_act_2024_25,,2104380,ACT,average_composite,21.2,2024-25,155,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104410_act_2024_25,,2104410,ACT,average_composite,17.4,2024-25,348,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104440_act_2024_25,,2104440,ACT,average_composite,15.6,2024-25,93,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104470_act_2024_25,,2104470,ACT,average_composite,17.5,2024-25,66,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104500_act_2024_25,,2104500,ACT,average_composite,18.6,2024-25,237,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104530_act_2024_25,,2104530,ACT,average_composite,21.5,2024-25,992,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
ky_2104560_act_2024_25,,2104560,ACT,average_composite,16.8,2024-25,134,,official_district_total_grade_11_average,official_state_export,kentucky_act_2024_25_scores,high,Kentucky district total; ACT grade 11 average score by site; all students aggregate as published.
